#sp   rion       Nb        pii      Viw
0 3.700003 1.142410 0.01487010 -185.577
1 3.663544 1.017127 0.01224276 -184.184
2 4.043292 1.039547 0.01889352 -216.608
3 4.043318 1.039540 0.01889359 -216.582
4 4.043303 1.039544 0.01889357 -216.595
5 4.043315 1.039543 0.01889351 -216.594
6 4.043308 1.039544 0.01889360 -216.591
7 4.043315 1.039541 0.01889366 -216.594
8 3.992400 1.010004 0.01727370 -209.946
9 3.992386 1.010005 0.01727369 -209.957
10 3.992386 1.010009 0.01727364 -209.942
11 3.992379 1.010008 0.01727351 -209.941
12 3.992395 1.010006 0.01727354 -209.942
13 4.110185 1.017752 0.01917167 -206.802
14 3.886707 1.072333 0.01813285 -205.346
15 3.886710 1.072323 0.01813305 -205.346
16 4.236619 1.015301 0.02105276 -213.144
17 4.236625 1.015313 0.02105289 -213.146
18 4.236628 1.015312 0.02105297 -213.145
19 4.236632 1.015312 0.02105300 -213.146
20 4.293450 1.013967 0.02257286 -219.346
21 4.236638 1.015312 0.02105298 -213.146
22 4.293467 1.013966 0.02257289 -219.348
23 4.293444 1.013967 0.02257287 -219.347
24 4.293463 1.013975 0.02257269 -219.345
25 4.421554 1.012195 0.02499183 -226.926
26 4.421573 1.012193 0.02499166 -226.911
27 4.293466 1.013974 0.02257263 -219.343
28 4.293468 1.013973 0.02257271 -219.344
29 4.247247 1.010286 0.02111514 -214.919
30 4.055127 1.006384 0.01999651 -216.748
31 4.247253 1.010288 0.02111568 -214.912
32 4.467357 0.991587 0.02199703 -220.052
33 4.467362 0.991588 0.02199721 -220.048
34 4.467361 0.991589 0.02199725 -220.046
35 4.582294 0.993181 0.02154913 -210.564
36 4.467353 0.991590 0.02199721 -220.047
37 4.467354 0.991589 0.02199718 -220.048
38 4.582283 0.993183 0.02154919 -210.564
39 4.828469 0.950220 0.02247576 -214.379
40 4.828480 0.950220 0.02247588 -214.387
41 4.828459 0.950219 0.02247569 -214.387
42 4.582303 0.993178 0.02154895 -210.574
43 4.828466 0.950220 0.02247582 -214.385
44 4.828462 0.950221 0.02247577 -214.379
45 4.582294 0.993180 0.02154899 -210.571
46 4.828471 0.950222 0.02247577 -214.390
47 4.711791 0.820440 0.02109372 -211.311
48 4.828475 0.950210 0.02247601 -214.381
49 4.711790 0.820429 0.02109357 -211.312
50 4.711792 0.820430 0.02109364 -211.310
51 4.711775 0.820442 0.02109363 -211.310
52 4.711778 0.820444 0.02109383 -211.310
53 4.711804 0.820439 0.02109387 -211.310
54 5.010507 0.900158 0.02291442 -231.999
55 5.010497 0.900168 0.02291446 -232.001
56 4.711797 0.820434 0.02109386 -211.310
57 5.010484 0.900167 0.02291439 -232.000
58 5.010488 0.900167 0.02291448 -232.001
59 5.010505 0.900149 0.02291454 -232.000
60 5.010487 0.900176 0.02291442 -232.002
61 4.766212 0.942391 0.02137762 -221.009
62 4.766204 0.942396 0.02137755 -221.012
63 5.010505 0.900164 0.02291454 -232.000
64 4.843845 0.702922 0.02168016 -223.980
65 4.843856 0.702916 0.02168026 -223.981
66 4.843849 0.702926 0.02168028 -223.971
67 4.843872 0.702923 0.02168030 -223.979
68 4.614023 0.701018 0.02231724 -216.100
69 4.614030 0.701009 0.02231719 -216.102
70 4.614033 0.701017 0.02231723 -216.099
71 4.614031 0.701001 0.02231721 -216.101
72 4.843864 0.702969 0.02168021 -223.981
73 4.843854 0.702974 0.02168018 -223.984
74 4.614026 0.701015 0.02231723 -216.100
75 4.614025 0.701000 0.02231709 -216.100
76 4.843859 0.702963 0.02168011 -223.984
77 4.843842 0.702996 0.02168011 -223.981
78 4.843858 0.702971 0.02168016 -223.980
79 4.614032 0.701002 0.02231711 -216.100
80 4.843861 0.702977 0.02168013 -223.979
81 4.843864 0.702964 0.02168012 -223.981
82 4.843848 0.702977 0.02168014 -223.981
83 4.817977 0.776345 0.02388648 -219.599
84 4.817989 0.776323 0.02388659 -219.596
85 4.843859 0.702964 0.02168020 -223.982
86 4.843871 0.702978 0.02168035 -223.981
87 4.817985 0.776343 0.02388654 -219.599
88 4.817978 0.776338 0.02388653 -219.598
89 4.843855 0.702989 0.02168026 -223.982
90 4.817984 0.776350 0.02388661 -219.599
91 4.817988 0.776339 0.02388621 -219.599
92 4.817990 0.776335 0.02388621 -219.604
93 4.962477 0.625815 0.02287205 -230.536
94 4.962494 0.625821 0.02287216 -230.537
95 4.962479 0.625832 0.02287196 -230.538
96 4.817986 0.776336 0.02388625 -219.600
97 4.817979 0.776335 0.02388616 -219.603
98 4.817978 0.776339 0.02388628 -219.599
99 4.817995 0.776344 0.02388627 -219.603
100 5.049750 0.731804 0.02371249 -233.495
101 4.818001 0.776332 0.02388622 -219.599
102 5.049746 0.731813 0.02371251 -233.493
103 5.049760 0.731760 0.02371260 -233.493
104 5.049744 0.731753 0.02371254 -233.493
105 5.049751 0.731739 0.02371268 -233.494
106 5.049759 0.731753 0.02371260 -233.493
107 4.719010 0.684399 0.02356761 -218.197
108 4.719003 0.684415 0.02356765 -218.201
109 4.718998 0.684400 0.02356752 -218.200
110 5.049731 0.731758 0.02371252 -233.494
111 5.049748 0.731750 0.02371251 -233.493
112 4.936928 0.955635 0.02432857 -237.732
113 4.936912 0.955644 0.02432876 -237.731
114 4.936915 0.955638 0.02432869 -237.731
115 5.049755 0.731747 0.02371261 -233.493
116 4.936909 0.955643 0.02432864 -237.732
117 5.049751 0.731740 0.02371257 -233.493
