#sp   rion       Nb        pii      Viw
0 3.698774 1.140536 0.01479897 -185.340
1 3.667725 1.017163 0.01229256 -183.842
2 4.043282 1.038985 0.01886522 -216.393
3 4.042061 1.038696 0.01889402 -216.656
4 4.041965 1.039307 0.01887171 -216.209
5 4.046952 1.038872 0.01890960 -216.946
6 4.043795 1.040144 0.01886559 -216.470
7 4.042920 1.038795 0.01889060 -216.769
8 3.993572 1.009560 0.01729756 -210.335
9 3.994121 1.009807 0.01726791 -209.790
10 3.993816 1.010164 0.01728902 -210.945
11 3.992629 1.009801 0.01730099 -209.741
12 3.992352 1.010116 0.01724634 -209.797
13 4.107411 1.018436 0.01915931 -206.175
14 3.885022 1.072756 0.01809637 -205.317
15 3.889295 1.071920 0.01816127 -205.074
16 4.233685 1.015433 0.02100431 -212.844
17 4.239264 1.015278 0.02105788 -213.655
18 4.237914 1.014769 0.02108528 -213.582
19 4.234823 1.015432 0.02105050 -212.934
20 4.293543 1.014139 0.02259806 -219.429
21 4.235221 1.015249 0.02107779 -213.336
22 4.295287 1.013992 0.02259991 -219.586
23 4.293736 1.013878 0.02262549 -219.701
24 4.290486 1.014287 0.02257308 -219.741
25 4.419373 1.012279 0.02499541 -226.928
26 4.422951 1.012046 0.02500398 -226.425
27 4.292791 1.014033 0.02257607 -219.250
28 4.293668 1.014051 0.02254711 -219.216
29 4.243248 1.011639 0.02111286 -215.368
30 4.057079 1.005956 0.02001789 -216.638
31 4.250178 1.010533 0.02113582 -215.036
32 4.469095 0.991714 0.02201000 -220.651
33 4.470310 0.991875 0.02205315 -220.150
34 4.469181 0.991470 0.02197363 -219.866
35 4.581967 0.993444 0.02153727 -210.484
36 4.466851 0.991769 0.02199473 -220.135
37 4.468828 0.991502 0.02198402 -219.675
38 4.586389 0.993606 0.02153972 -210.785
39 4.826842 0.950105 0.02246524 -214.502
40 4.827056 0.950064 0.02245345 -213.996
41 4.830518 0.949322 0.02247771 -214.401
42 4.581626 0.993308 0.02153740 -209.966
43 4.832733 0.948527 0.02247356 -214.386
44 4.826576 0.949685 0.02244776 -213.540
45 4.578836 0.993263 0.02155883 -210.024
46 4.827667 0.949834 0.02245263 -215.663
47 4.714553 0.815512 0.02109377 -211.201
48 4.828013 0.950738 0.02247460 -214.417
49 4.714174 0.820008 0.02106457 -210.765
50 4.709792 0.824690 0.02106898 -211.864
51 4.714784 0.824276 0.02111483 -211.283
52 4.712863 0.823323 0.02107179 -211.640
53 4.716764 0.813518 0.02112005 -210.961
54 5.009576 0.902374 0.02292406 -231.818
55 5.009750 0.900083 0.02288157 -232.286
56 4.709711 0.816696 0.02108081 -210.683
57 5.009369 0.900392 0.02292231 -231.574
58 5.009381 0.899912 0.02288984 -231.867
59 5.007960 0.900296 0.02291974 -231.683
60 5.011151 0.899615 0.02291146 -232.067
61 4.764346 0.942735 0.02135427 -220.868
62 4.766483 0.941507 0.02138155 -220.877
63 5.009891 0.898018 0.02290211 -231.657
64 4.843393 0.704999 0.02166866 -224.048
65 4.843818 0.701055 0.02166629 -223.503
66 4.844467 0.704267 0.02168678 -223.258
67 4.841119 0.700383 0.02167370 -223.836
68 4.610282 0.699307 0.02229485 -215.674
69 4.611967 0.703561 0.02227970 -216.611
70 4.615092 0.703512 0.02233538 -215.913
71 4.611850 0.699314 0.02229555 -216.388
72 4.842081 0.707292 0.02166852 -223.806
73 4.846334 0.698877 0.02170598 -224.406
74 4.614279 0.697171 0.02229615 -216.394
75 4.616482 0.700322 0.02232318 -215.944
76 4.847562 0.704683 0.02171773 -223.808
77 4.843876 0.702350 0.02167033 -224.117
78 4.846627 0.703856 0.02170586 -223.612
79 4.616544 0.696689 0.02233246 -216.475
80 4.842944 0.704238 0.02166408 -223.219
81 4.843864 0.705563 0.02169347 -223.929
82 4.844799 0.702280 0.02170589 -224.161
83 4.820632 0.775683 0.02386253 -218.416
84 4.818972 0.775040 0.02387854 -219.553
85 4.843110 0.707748 0.02166016 -223.803
86 4.844854 0.701488 0.02169804 -223.474
87 4.819571 0.774948 0.02390202 -219.458
88 4.818686 0.775248 0.02391375 -219.752
89 4.842577 0.700656 0.02166394 -223.875
90 4.819508 0.774199 0.02389800 -220.200
91 4.822309 0.774575 0.02388441 -218.621
92 4.817383 0.772424 0.02388538 -219.676
93 4.961668 0.627025 0.02285317 -229.614
94 4.960788 0.626137 0.02284554 -230.446
95 4.967010 0.625324 0.02290185 -230.453
96 4.813936 0.776900 0.02387361 -219.393
97 4.818666 0.773614 0.02388147 -219.015
98 4.820763 0.777700 0.02390088 -220.243
