#sp   rion       Nb        pii      Viw
0 3.700623 1.143357 0.01490572 -185.739
1 3.661473 1.017119 0.01221815 -184.194
2 4.043328 1.039830 0.01890768 -216.819
3 4.043926 1.039980 0.01889323 -216.513
4 4.043981 1.039661 0.01890434 -216.786
5 4.041481 1.039880 0.01888527 -216.430
6 4.043063 1.039246 0.01890731 -216.626
7 4.043497 1.039904 0.01889481 -216.456
8 3.991807 1.010249 0.01726210 -209.732
9 3.991539 1.010125 0.01727700 -209.958
10 3.991692 1.009943 0.01726622 -209.515
11 3.992289 1.010125 0.01726040 -210.026
12 3.992420 1.009973 0.01728766 -209.911
13 4.111573 1.017426 0.01917802 -207.148
14 3.887572 1.072116 0.01815158 -205.222
15 3.885433 1.072531 0.01811896 -205.474
16 4.238107 1.015243 0.02107722 -213.177
17 4.235316 1.015340 0.02105040 -212.820
18 4.235990 1.015610 0.02103662 -212.829
19 4.237533 1.015264 0.02105399 -213.187
20 4.293427 1.013884 0.02256042 -219.335
21 4.237331 1.015353 0.02104037 -213.023
22 4.292548 1.013957 0.02255942 -219.196
23 4.293333 1.014011 0.02254669 -219.313
24 4.294950 1.013820 0.02257251 -219.254
25 4.422653 1.012148 0.02498957 -226.910
26 4.420854 1.012265 0.02498532 -227.214
27 4.293795 1.013952 0.02257099 -219.455
28 4.293357 1.013938 0.02258550 -219.520
29 4.249255 1.009656 0.02111619 -214.690
30 4.054133 1.006618 0.01998581 -216.779
31 4.245787 1.010166 0.02110545 -214.820
32 4.466493 0.991544 0.02199054 -219.651
33 4.465883 0.991462 0.02196898 -219.903
34 4.466448 0.991660 0.02200878 -220.102
35 4.582456 0.993058 0.02155531 -210.534
36 4.467618 0.991495 0.02199820 -219.989
37 4.466627 0.991647 0.02200363 -220.118
38 4.580250 0.992973 0.02155405 -210.501
39 4.829272 0.950300 0.02248110 -214.308
40 4.829158 0.950315 0.02248694 -214.606
41 4.827438 0.950676 0.02247486 -214.402
42 4.582622 0.993123 0.02155499 -210.758
43 4.826328 0.951064 0.02247692 -214.470
44 4.829408 0.950501 0.02248984 -214.806
45 4.584021 0.993147 0.02154433 -210.747
46 4.828858 0.950394 0.02248737 -213.779
47 4.710382 0.822938 0.02109357 -211.344
48 4.828683 0.949965 0.02247677 -214.333
49 4.710571 0.820747 0.02110829 -211.440
50 4.712763 0.818373 0.02110599 -210.995
51 4.710274 0.818571 0.02108306 -211.165
52 4.711233 0.818992 0.02110483 -211.039
53 4.709269 0.823888 0.02108066 -211.473
54 5.010939 0.899053 0.02290975 -232.051
55 5.010856 0.900209 0.02293093 -231.875
56 4.712801 0.822377 0.02110028 -211.476
57 5.011052 0.900066 0.02291055 -232.114
58 5.011044 0.900290 0.02292688 -232.049
