#sp   rion       Nb        pii      Viw
0 3.699385 1.141478 0.01483448 -185.394
1 3.665633 1.017142 0.01226754 -184.127
2 4.043288 1.039263 0.01887944 -216.423
3 4.042690 1.039115 0.01889388 -216.580
4 4.042635 1.039426 0.01888273 -216.483
5 4.045135 1.039207 0.01890166 -216.753
6 4.043553 1.039843 0.01887970 -216.654
7 4.043119 1.039173 0.01889223 -216.663
8 3.992984 1.009774 0.01728552 -210.103
9 3.993251 1.009899 0.01727067 -209.845
10 3.993099 1.010082 0.01728121 -210.373
11 3.992502 1.009899 0.01728711 -209.796
12 3.992371 1.010054 0.01725983 -209.889
13 4.108801 1.018089 0.01916556 -206.548
14 3.885856 1.072544 0.01811450 -205.341
15 3.887995 1.072124 0.01814708 -205.109
16 4.235154 1.015365 0.02102859 -213.067
17 4.237946 1.015292 0.02105541 -213.398
18 4.237272 1.015032 0.02106916 -213.403
19 4.235729 1.015368 0.02105178 -212.933
20 4.293495 1.014052 0.02258542 -219.361
21 4.235931 1.015278 0.02106541 -213.158
22 4.294375 1.013978 0.02258638 -219.464
23 4.293589 1.013922 0.02259915 -219.426
24 4.291973 1.014130 0.02257285 -219.516
25 4.420465 1.012238 0.02499374 -226.923
26 4.422264 1.012121 0.02499795 -226.703
27 4.293127 1.014001 0.02257434 -219.323
28 4.293566 1.014012 0.02255987 -219.139
29 4.245248 1.010947 0.02111408 -215.156
30 4.056099 1.006165 0.02000718 -216.738
31 4.248716 1.010410 0.02112580 -215.045
32 4.468224 0.991644 0.02200356 -220.383
33 4.468834 0.991726 0.02202523 -220.083
34 4.468269 0.991526 0.02198547 -219.964
35 4.582132 0.993308 0.02154312 -210.534
36 4.467099 0.991681 0.02199601 -220.057
37 4.468089 0.991541 0.02199062 -219.918
38 4.584338 0.993392 0.02154438 -210.626
39 4.827658 0.950156 0.02247050 -214.438
40 4.827772 0.950137 0.02246466 -214.205
41 4.829492 0.949769 0.02247671 -214.396
42 4.581966 0.993241 0.02154310 -210.303
43 4.830603 0.949375 0.02247469 -214.334
44 4.827522 0.949949 0.02246176 -213.993
45 4.580566 0.993218 0.02155381 -210.300
