#sp   rion       Nb        pii      Viw
0 3.700000 1.142442 0.01487004 -185.574
1 3.663552 1.017132 0.01224271 -184.150
2 4.043309 1.039543 0.01889364 -216.576
3 4.043309 1.039543 0.01889364 -216.576
4 4.043309 1.039543 0.01889364 -216.576
5 4.043309 1.039543 0.01889358 -216.598
6 4.043309 1.039543 0.01889363 -216.594
7 4.043309 1.039543 0.01889363 -216.594
8 3.992393 1.009980 0.01727370 -209.938
9 3.992393 1.009980 0.01727370 -209.938
10 3.992393 1.009980 0.01727360 -209.945
11 3.992393 1.009980 0.01727363 -209.942
12 3.992393 1.009980 0.01727363 -209.942
13 4.110191 1.017736 0.01917188 -206.800
14 3.886707 1.072333 0.01813294 -205.346
15 3.886707 1.072333 0.01813294 -205.346
16 4.236633 1.015336 0.02105298 -213.180
17 4.236633 1.015304 0.02105294 -213.144
18 4.236633 1.015304 0.02105294 -213.144
19 4.236633 1.015304 0.02105294 -213.146
20 4.293459 1.013981 0.02257289 -219.387
21 4.236633 1.015304 0.02105294 -213.146
22 4.293459 1.013981 0.02257289 -219.387
23 4.293459 1.013981 0.02257289 -219.387
24 4.293459 1.013981 0.02257266 -219.349
25 4.421561 1.012214 0.02499178 -226.940
26 4.421561 1.012214 0.02499178 -226.940
27 4.293459 1.013981 0.02257266 -219.349
28 4.293459 1.013981 0.02257266 -219.345
29 4.247252 1.010294 0.02111524 -214.877
30 4.055113 1.006391 0.01999650 -216.753
31 4.247252 1.010294 0.02111570 -214.919
32 4.467356 0.991617 0.02199711 -220.064
33 4.467356 0.991617 0.02199716 -220.051
34 4.467356 0.991617 0.02199716 -220.047
35 4.582296 0.993191 0.02154914 -210.610
36 4.467356 0.991617 0.02199716 -220.047
37 4.467356 0.991617 0.02199716 -220.047
38 4.582296 0.993191 0.02154914 -210.610
39 4.828470 0.949971 0.02247581 -214.312
40 4.828470 0.949971 0.02247581 -214.312
41 4.828470 0.949971 0.02247581 -214.312
42 4.582296 0.993189 0.02154898 -210.574
43 4.828470 0.949971 0.02247581 -214.312
44 4.828470 0.949971 0.02247581 -214.312
45 4.582296 0.993189 0.02154898 -210.574
46 4.828470 0.949971 0.02247581 -214.312
47 4.711784 0.820645 0.02109366 -211.300
